Date, Close/Last, Volume, Open, High, Low
10/22/2019, $86.81, 913277, $87.4, $89.2899, $85.09
10/21/2019, $87.27, 753591, $85.38, $88.415, $85.0101
10/18/2019, $85.17, 1413971, $84.2, $86.68, $84.05
10/17/2019, $83.62, 9448475, $84.01, $85.55, $82.68
10/16/2019, $83.88, 1288190, $84.17, $84.63, $82.92
10/15/2019, $84.8, 2084103, $85.8, $87.49, $83.34
10/14/2019, $89.105, 530306, $89.5, $90.5, $88.37
10/11/2019, $88.95, 774348, $88.88, $90.055, $88.01
10/10/2019, $88.39, 647206, $85.61, $90, $85.5389
10/09/2019, $85.55, 771958, $87.69, $87.79, $83.54
10/08/2019, $87.22, 739354, $84.69, $88.51, $84.5
10/07/2019, $85.51, 792129, $86.09, $86.9594, $83.59
10/04/2019, $85.5, 803064, $81.91, $85.52, $81.345
10/03/2019, $81, 689011, $81.17, $82.055, $78.425
10/02/2019, $81.12, 743788, $82.43, $83.04, $80.31
10/01/2019, $83.15, 635772, $84.27, $84.915, $82.72
09/30/2019, $83.72, 608207, $82.32, $84.72, $81.215
09/27/2019, $82.08, 1202363, $85.51, $86.19, $81.09
09/26/2019, $85.35, 679775, $88.71, $89.5293, $84.97
09/25/2019, $88.3, 694204, $86.22, $88.72, $84.87
09/24/2019, $86.76, 1347330, $90.11, $91.449, $84.92
09/23/2019, $89.87, 1044581, $89.1, $90.37, $87.33
09/20/2019, $89.41, 2241150, $90.26, $91.42, $85.9
09/19/2019, $89.42, 3525970, $83.44, $90.45, $83.2
09/18/2019, $83.04, 848601, $83.15, $83.4899, $80.44
09/17/2019, $83.06, 1342932, $79.4, $83.205, $79.4
09/16/2019, $79.31, 1539197, $76.51, $80.66, $76.4
09/13/2019, $76.12, 1531875, $71.55, $76.65, $71.55
09/12/2019, $71.64, 3773484, $80.28, $81.1551, $70.875
09/11/2019, $79.43, 931102, $75.13, $80.055, $74.92
09/10/2019, $75.12, 1410007, $73.64, $76.29, $72.5
09/09/2019, $74.16, 1315432, $77.2, $77.74, $73.15
