Date, Close/Last, Volume, Open, High, Low
08/28/2019, $13.16, 2379340, $12.93, $13.25, $12.82
08/27/2019, $13.02, 1225472, $13.36, $13.4834, $12.87
08/26/2019, $13.15, 1976018, $12.77, $13.33, $12.77
08/23/2019, $12.73, 1569147, $13.11, $13.25, $12.57
08/22/2019, $13.28, 1760874, $13.55, $13.58, $13.06
08/21/2019, $13.57, 2283324, $14.01, $14.04, $13.3528
08/20/2019, $13.74, 2046589, $13.19, $13.79, $13.09
08/19/2019, $13.23, 2086240, $13.29, $13.44, $12.85
08/16/2019, $12.88, 2188023, $12.44, $12.935, $12.44
08/15/2019, $12.41, 3610536, $12.56, $12.82, $12.2064
08/14/2019, $12.37, 3162354, $13.05, $13.09, $12.07
08/13/2019, $13.42, 1965015, $13.28, $13.79, $13.01
08/12/2019, $13.21, 3207343, $14.19, $14.26, $13.18
08/09/2019, $14.31, 1841384, $14.36, $14.52, $14.06
08/08/2019, $14.54, 3691247, $14.6, $14.97, $14.34
08/07/2019, $14.75, 5749220, $13.84, $14.93, $13.31
08/06/2019, $13.47, 3575389, $13.72, $13.89, $13.2501
08/05/2019, $13.44, 6229401, $14.5, $14.54, $13.01
08/02/2019, $15.1, 7079385, $14.64, $15.72, $14.54
08/01/2019, $14.52, 23671230, $14.01, $16.04, $13.9
07/31/2019, $11.69, 8190055, $11.25, $12.15, $11.19
07/30/2019, $10.8, 1768982, $10.7, $10.93, $10.56
07/29/2019, $10.76, 2006924, $10.28, $10.81, $10.2
07/26/2019, $10.26, 1041920, $10.24, $10.36, $10.11
07/25/2019, $10.21, 1274461, $10.25, $10.38, $10.17
07/24/2019, $10.29, 1802740, $10.58, $10.58, $10.27
07/23/2019, $10.59, 1957799, $10.76, $10.82, $10.31
07/22/2019, $10.7, 2337104, $10.95, $11.02, $10.52
07/19/2019, $10.99, 1749281, $10.92, $11.19, $10.81
07/18/2019, $10.91, 1856103, $11.04, $11.07, $10.78
07/17/2019, $11.04, 1849851, $11.37, $11.47, $11.02
07/16/2019, $11.4, 1334214, $11.51, $11.67, $11.31
07/15/2019, $11.5, 1817025, $11.67, $11.73, $11.3
07/12/2019, $11.66, 2197286, $11.71, $11.93, $11.4718
07/11/2019, $11.69, 2083758, $12.18, $12.29, $11.61
07/10/2019, $12.13, 2195944, $12.55, $12.61, $11.861
07/09/2019, $12.47, 3333529, $12.3, $12.7899, $12.12
07/08/2019, $12.39, 3209008, $11.96, $12.44, $11.76
07/05/2019, $11.99, 2398404, $11.42, $12.09, $11.2632
07/03/2019, $11.47, 2141838, $11.35, $11.85, $11.29
07/02/2019, $11.29, 2113672, $11.31, $11.34, $11.005
07/01/2019, $11.23, 3275932, $10.84, $11.29, $10.7
06/28/2019, $10.69, 2943030, $10.65, $10.78, $10.46
06/27/2019, $10.54, 2348811, $10.25, $10.61, $10.15
06/26/2019, $10.16, 1357927, $10.13, $10.2655, $10.03
06/25/2019, $10, 1729489, $10.15, $10.4, $9.93
06/24/2019, $10.33, 1666068, $10.31, $10.49, $10.09
06/21/2019, $10.34, 2442697, $10.39, $10.53, $10.16
06/20/2019, $10.47, 2569959, $10.53, $10.78, $10.24
06/19/2019, $10.46, 5443256, $9.73, $10.57, $9.54
06/18/2019, $10.15, 16769650, $8.8, $11.01, $8.77
06/17/2019, $8.28, 785634, $8.21, $8.35, $8.13
06/14/2019, $8.24, 1092840, $8.35, $8.39, $8.06
06/13/2019, $8.46, 2762137, $8.02, $8.5501, $8.02
06/12/2019, $7.96, 2470392, $8.26, $8.44, $7.925
06/11/2019, $8.46, 1086454, $8.51, $8.61, $8.35
06/10/2019, $8.4, 1829850, $8.43, $8.585, $8.37
06/07/2019, $8.34, 1592990, $8.35, $8.5651, $8.31
06/06/2019, $8.35, 1866233, $8.13, $8.42, $8.05
06/05/2019, $8.15, 1783570, $8.16, $8.37, $8.02
06/04/2019, $8.16, 3266102, $7.69, $8.175, $7.62
06/03/2019, $7.59, 1964198, $7.47, $7.73, $7.41
05/31/2019, $7.46, 2683310, $7.72, $7.8, $7.365
05/30/2019, $7.86, 1134866, $7.78, $7.99, $7.73
05/29/2019, $7.72, 923678, $7.76, $7.853, $7.6
05/28/2019, $7.85, 832116, $7.8, $7.935, $7.74
05/24/2019, $7.78, 1116143, $7.83, $7.92, $7.73
05/23/2019, $7.73, 1689156, $8.03, $8.08, $7.695
05/22/2019, $8.14, 960391, $8.19, $8.33, $8.08
05/21/2019, $8.2, 1856472, $7.94, $8.29, $7.94
05/20/2019, $7.91, 1151349, $7.97, $8, $7.78
05/17/2019, $8, 1840867, $8.31, $8.42, $7.99
05/16/2019, $8.38, 1995180, $8.02, $8.54, $8.02
05/15/2019, $8.12, 1849968, $7.91, $8.15, $7.84
05/14/2019, $7.97, 1554925, $8.02, $8.12, $7.86
05/13/2019, $7.97, 2739677, $7.94, $8.12, $7.6696
05/10/2019, $8.2, 7810890, $7.26, $8.45, $7.11
05/09/2019, $7.38, 2413478, $7.63, $7.64, $7.2
05/08/2019, $7.58, 2035932, $7.8, $7.82, $7.46
05/07/2019, $7.78, 1971584, $7.49, $7.79, $7.45
05/06/2019, $7.56, 1558963, $7.38, $7.62, $7.35
05/03/2019, $7.54, 1931316, $7.26, $7.55, $7.23
05/02/2019, $7.2, 1142296, $7.16, $7.26, $7.02
05/01/2019, $7.17, 2030883, $7.31, $7.39, $7.14
04/30/2019, $7.22, 2011317, $7.63, $7.65, $7.18
04/29/2019, $7.65, 1927036, $7.65, $7.74, $7.5382
04/26/2019, $7.62, 898224, $7.47, $7.66, $7.4201
04/25/2019, $7.48, 774269, $7.55, $7.56, $7.41
04/24/2019, $7.57, 1329171, $7.54, $7.73, $7.52
04/23/2019, $7.54, 2212499, $7.52, $7.68, $7.43
04/22/2019, $7.48, 742087, $7.36, $7.48, $7.31
04/18/2019, $7.43, 959820, $7.48, $7.52, $7.39
04/17/2019, $7.51, 955164, $7.61, $7.64, $7.44
04/16/2019, $7.58, 927566, $7.52, $7.59, $7.35
04/15/2019, $7.47, 1200349, $7.63, $7.63, $7.4
